Getting services from marketplace in org cent@us.ibm.com / space Cognitive as hans.moen@ie.ibm.com...
OK

service                                                       plans                                                                                                                                                                                                                                                                                                                                     description
APIConnect                                                    Essentials, Professional*, Enterprise*, Professional 5M*, Enterprise 25M*                                                                                                                                                                                                                                                                 Create, manage, enforce, and run APIs.
AdvancedMobileAccess                                          Gold*, Bronze*                                                                                                                                                                                                                                                                                                                            Finely tune mobile apps with operational analytics, and ensure communications with back end systems are secure.
Application Security on Cloud                                 free, standard*                                                                                                                                                                                                                                                                                                                           A robust, practical security vulnerability assessment for your web applications.
Auto-Scaling                                                  free                                                                                                                                                                                                                                                                                                                                      Automatically increase or decrease the number of application instances based on a policy you define.
AvailabilityMonitoring                                        Base                                                                                                                                                                                                                                                                                                                                      Worried about how application uptime is affecting your user's satisfaction? The Bluemix Availability Monitoring service helps your DevOps team ensure that applications are always available and meeting user expectations for response time as you roll out continuous updates. The service, is tightly integrated into the build and run aspects of the DevOps lifecycle, runs simulated performance tests from locations around the world, around the clock to proactively detect, isolate and diagnose performance issues before they impact your users.
BigInsightsonCloud                                            Enterprise*, Basic (Beta)                                                                                                                                                                                                                                                                                                                 Provision managed bare metal Apache Hadoop clusters for production use or POCs at scale.
CDN                                                           free                                                                                                                                                                                                                                                                                                                                      Provides CDN functionality
Cognitive Commerce™                                          Beta                                                                                                                                                                                                                                                                                                                                      Cognitive Commerce is a service provided by Cognitive Scale.
Cognitive Graph                                               Beta                                                                                                                                                                                                                                                                                                                                      Cognitive Graph is a service provided by Cognitive Scale.
Cognitive Insights™                                          Beta                                                                                                                                                                                                                                                                                                                                      Cognitive Insights™ is a service provided by Cognitive Scale.
DataCache                                                     starter*, standard*, premium*                                                                                                                                                                                                                                                                                                             Improve the performance and user experience of web applications by retrieving information from fast, managed, in-memory caches, instead of relying entirely on slower disk-based databases.
DataWorks_Gen3                                                Personal*, Professional*, Enterprise*, Starter-GA*                                                                                                                                                                                                                                                                                        Data Connect: Self-service data preparation and integration for analytics projects.
Delivery Pipeline                                             Free                                                                                                                                                                                                                                                                                                                                      Use IBM DevOps Services to automate builds and deployments, test execution, configure build scripts, and automate execution of unit tests. Automatically build and deploy your application to IBM's cloud platform, Bluemix.
Delivery Pipeline Next                                        Free                                                                                                                                                                                                                                                                                                                                      Use Delivery Pipeline to automate builds, unit tests, deployments, and more. The stages in your pipeline can build automatically when changes are pushed to a linked repository, and then deploy to one or more environments in IBM Bluemix.
Document Generation                                           Free plan                                                                                                                                                                                                                                                                                                                                 Generate documents from any standard data source with the Document Generation for Bluemix service.
Geospatial Analytics                                          Standard*                                                                                                                                                                                                                                                                                                                                 Expand the boundaries of your application. Leverage real-time geospatial analytics to track when devices enter, leave or hang out in defined regions.  Powered by IBM Streaming Analytics on Bluemix.
IBM DataStage on Cloud                                        Small*, Medium*, Large*                                                                                                                                                                                                                                                                                                                   IBM® DataStage on Cloud allows you to rapidly expand data integration capabilities into the cloud for new or ad hoc development and testing environments.
IBM Graph                                                     Standard*                                                                                                                                                                                                                                                                                                                                 A fully-managed graph database service based on the TinkerPop stack.
IBM Master Data Management on Cloud                           Small*, Medium*, Large*, Non-Production*, Additional Virtual MDM Runtime*, Additional MDM Developer*, Additional BPM Developer*                                                                                                                                                                                                           IBM® Master Data Management (MDM) on Cloud helps businesses gain a trusted view of data in a hybrid computing environment.
Informix on Cloud                                             Small*, Medium*, Large*, Extra Large*                                                                                                                                                                                                                                                                                                     IBM Informix on Cloud helps businesses gain a trusted view of data in a hybrid computing environment.
Integration Testing                                           free                                                                                                                                                                                                                                                                                                                                      Automated Integration Testing for Bluemix
Internet of Things Workbench                                  InternetOfThingsWorkbenchExperimentalPlan                                                                                                                                                                                                                                                                                                 An intuitive development environment for rapid design, simulation, & construction of complete Internet of Things solutions and services
Lift                                                          Lift-Starter*, Lift-Enterprise*                                                                                                                                                                                                                                                                                                           Lift is a fully managed data migration service.
Mobile Foundation                                             Developer*, Professional1Application*, DeveloperPro*, ProfessionalPerCapacity*                                                                                                                                                                                                                                                            Enterprise platform for mobile apps
Mobile Quality Assurance                                      MobileQualityAssurance*, MobileQualityAssurancePremium*                                                                                                                                                                                                                                                                                   Capture tester and live user experience to continuously build and deliver high quality mobile apps.
MobileApplicationContentManager                               Basic*                                                                                                                                                                                                                                                                                                                                    IBM Mobile Application Content Manager enables a mobile project team to engage app users with personal and contextual content in the mobile moment.
MonitoringAndAnalytics                                        Free, diagnostics*                                                                                                                                                                                                                                                                                                                        Gain the visibility and control you need over your application. Determine the response time your users see, understand the performance and availability of the application components, leverage analytics to keep your application up and performing well, and get automatically notified if application problems occur.
Object-Storage                                                Free, standard*                                                                                                                                                                                                                                                                                                                           Provides a cost-effective, scalable, unstructured cloud data store to build and deliver cloud apps and services.
Payeezy                                                       user-provided                                                                                                                                                                                                                                                                                                                             Simple, powerful payments
Rocket Mainframe Data                                         User Provided-Beta                                                                                                                                                                                                                                                                                                                        Rocket Mainframe Data Service on Bluemix provides an easy way to leverage your mainframe data for new cloud services and mobile apps. Built on our proven data virtualization technology, this new mainframe data provides access to a breadth of data sources--without worrying about the underlying data format. Developers have the flexibility to use either MongoDB or SQL (JDBC) to access data on z Systems. With Rocket Mainframe Data Service on Bluemix, developers working in IBM Bluemix now have an agile method for incorporating system of record data on z Systems into cloud or mobile applications.
SecureGateway                                                 securegatewayplan*                                                                                                                                                                                                                                                                                                                        IBM Secure Gateway for Bluemix enables users to integrate cloud services with enterprise systems on premises.
